City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,PM2.5_7d_avg,PM10_7d_avg,AQI_Bucket_General,AQI_Bucket_Label
Gurugram,2016-08-28,0.26624394900115905,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.02203040453491368,0.4337883354015246,0.12627986348122866,0.04349303431872238,0.4000256508913685,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.12228260869565218,Satisfactory,0.19601346888838364,0.7953450141209201,Moderate,1
Gurugram,2016-08-30,0.1140655894184223,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.28922958000515325,0.4337883354015246,0.1228668941979522,0.05708460754332313,0.4000256508913685,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.8043478260869564,Very Poor,0.19071902642890398,0.7953450141209201,Poor,2
Gurugram,2016-08-31,0.6010090679757278,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.28922958000515325,0.4337883354015246,0.25597269624573377,0.23241590214067273,0.4000256508913685,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.5054347826086956,Moderate,0.2539924860059982,0.7953450141209201,Moderate,1
Gurugram,2016-09-01,0.08536169632508352,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.28922958000515325,0.4337883354015246,0.04778156996587031,0.015970098538905877,0.4000256508913685,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.5054347826086956,Moderate,0.23652840484620133,0.7953450141209201,Moderate,1
Gurugram,2016-09-02,0.16363264471262018,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.28922958000515325,0.4337883354015246,0.18088737201365188,0.03261977573904179,0.3786071565986918,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.08967391304347826,Satisfactory,0.23449291367568567,0.7953450141209201,Moderate,1
Gurugram,2016-09-03,0.6010090679757278,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.28922958000515325,0.4337883354015246,0.25597269624573377,0.23241590214067273,0.4000256508913685,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.059782608695652176,Good,0.2798042463810483,0.7953450141209201,Good,0
Gurugram,2016-09-04,0.6010090679757278,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.28922958000515325,0.4337883354015246,0.25597269624573377,0.23241590214067273,0.4000256508913685,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.5054347826086956,Moderate,0.3431318413616137,0.7953450141209201,Moderate,1
Gurugram,2016-09-05,0.2116315538283221,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.28922958000515325,0.4337883354015246,0.3071672354948805,0.0839279646619096,0.09259971784019494,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.5054347826086956,Moderate,0.3344593497255335,0.7953450141209201,Moderate,1
Gurugram,2016-09-06,0.20004090816117817,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.28922958000515325,0.4337883354015246,0.21160409556313992,0.04791029561671763,0.11645504681287674,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.1657608695652174,Satisfactory,0.3481122984809606,0.7953450141209201,Moderate,1
Gurugram,2016-09-07,0.6010090679757278,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.28922958000515325,0.4337883354015246,0.25597269624573377,0.23241590214067273,0.4000256508913685,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.08152173913043477,Satisfactory,0.3481122984809606,0.7953450141209201,Moderate,1
Gurugram,2016-09-08,0.6010090679757278,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.28922958000515325,0.4337883354015246,0.25597269624573377,0.23241590214067273,0.4000256508913685,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.5054347826086956,Moderate,0.42999750977144036,0.7953450141209201,Moderate,1
Gurugram,2016-09-09,0.23944910342946749,0.7401592118573251,0.19865974924340682,0.26433164591599406,0.28922958000515325,0.4337883354015246,0.09897610921501705,0.13829425756031258,0.12851096575606,0.14666666666666667,0.17200000000000001,0.41294298921417566,0.5054347826086956,Moderate,0.4420372235034267,0.7953450141209201,Moderate,1
